192.168.1.1 - - [10/Oct/2024:13:55:36] "GET /index.html" 200
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
192.168.1.2 - - [10/Oct/2024:13:56:12] "POST /login" 404
