업소명,시군명,상세주소,전화번호,주요메뉴
즐거운나의집돌솥밥,청주시,상당구 영운천로 153번길 36,2985285,돌솥정식
사또가든,청주시,청원구 오창읍 꽃화산길51-1 ,2127072,청국장
마중가는길,청주시,상당구 문의면 대청호반로 845-5,2881259,가마솥밥한정식
오소담,청주시,상당구 낭성면 지산나박실길 4,2217330,두부정식
김가네더덕밥,청주시,서원구 대림로421번길 24,2360789,더덕한정식
신항도복집,청주시,청원구 우암로 59,2877192,복지리
활력추어탕,청주시,상당구 월평로184번길 106,2941020,추어탕
황소고집,청주시,청원구 오창읍 용두길 72,2115550,청국장돌솥밥정식
돌뫼마을,청주시,청원구 내수읍 청암로371,2134204,우리콩손두부전골
이티성영토,청주시,상당구 미원면 미원초정로978,2960801,곤드레밥정식
산골추어탕,청주시,서원구 남이면 가마3길 48,2932929,마추어탕
상록회관식당,청주시,상당구 사직대로 361번길 80,2547810,한정식
호정한정식,청주시,상당구 낭성면 산성로 1569,2974567,한정식
소연재,청주시,상당구 중고개로 184(2층),2846888,한정식
두레,청주시,서원구 남이면 남이외천길 21,2603456,시골밥상
사리원,청주시,흥덕구 오송읍 오송가락로 368,2398878,불고기
장호식당,청주시,청원구 내수읍 내수학평길 30,2140255,짜글이찌개
25시가든,청주시,청원구 내수읍 신기초정로 675-14,2120300,된장찌개
이석가마솥추어탕,청주시,청원구 내수읍 청암로 375,2125292,추어탕
장안수제숯불갈비,청주시,청원구 주성로118번길 29-10,2143607,집된장찌개
나경한정식,청주시,흥덕구월명로172(봉명동),2732900,한정식
강촌설렁탕,청주시,흥덕구1순환로569(봉명동),2720111,설렁탕
명동보리밥,청주시,흥덕구대신로18번길5-2(복대동),2363392,보리밥정식
소보양본가,청주시,청원구공항로150번길22,2188254,해장국  소보양탕  소보양전골
참나무골,청주시,청원구팔결로65,2145292,점심특선  오리회전구이
명품순두부,청주시,상당구남사로89번길68(서문동),2567070,순두부찌개
방아다리추어탕,청주시,상당구중앙로94(북문로3가),2507707,추어탕  한방추어탕
청주본가운천직영점,청주시,흥덕구사운로233(운천동),2716080,갈비탕
청주추어탕강내점,청주시,흥덕구강내면월탄탑연길132,2339713,추어탕
이가네참부대찌개,청주시,서원구분평로6번길14-5(분평동 1층),2880863,부대찌개
참살이오리전문점,청주시,상당구용암북로124-1,2875233,오리백숙  오리로스  영양돌솥밥
콩가내,청주시,청원구주성로61-1(사천동),2172996,곤드레밥 들깨순두부백반
흙에서,청주시,흥덕구2순환로1168번길23,2370018,쌀밥정식
대가손두부,청주시,청원구발산로90,2162808,손두부백반
할머니추어탕,청주시,청원구1순환로219,2115052,추어탕
장맛이좋은집,청주시,청원구1순환로225번길40,2163070,청국장  비지장
들꽃이야기,청주시,오창읍과학산업2로363,2176155,돌솥비빔밥
가마솥추어매운탕,청주시,상당구 용암로 81,2858405,추어매운탕
왕가마솥순두부,청주시,서원구 용호로5번길 64,2368200,순두부
조선의갈비탕,청주시,서원구 산남로70번길29,2830111,갈비탕
띠울석갈비,청주시,청원구 오창읍 연구단지로 273,2165353,영양돌솥밥
토담골추어탕,청주시,청원구 율봉로30번길 27-2,2111589,추어탕
명산가든,충주시,살미면 중원대로 2577-10,8517208,산채정식
영화식당,충주시,수안보면 물탕 1길 11,8464500,산채정식
퓨전한정식뜰안채,충주시,남산14길 35,8483351,한정식
만나밥집,충주시,동수2길 35,8529590,콩나물해장국
금가능이옥,충주시,금가면 김생로 1184,8523338,능이버섯전골
사또본가,충주시,산척면 인등로 229-8,8547744,청국장
황포돛대 교현점,충주시,만리산9길 6-1,8522203,산우럭매운탕
천년향,충주시,번영대로 260,8441009,약초체질밥
강계화청국장,충주시,금제7길 10,8555113,청국장
오리장터,충주시,상방5길 2,8529255,연잎밥정식
꼬마각시 금릉점,충주시,금제4길 6,8511297,돌솥영양밥
수안보파크호텔탄금대,충주시,수안보면 탑골1길 36,8462331,된장찌개  김치찌개  해물된장찌개
장수밥상,충주시,산척면 충원대로 1677,8541331,장수밥상
원조신라집,충주시,거룡8길 35(용산동),8473061,김치찌개  닭볶음탕
대청마루,충주시,칠금15길 14(칠금동),8482799,제육볶음
마중,충주시,지곡16길 6  1층 (문화동),8564101,한정식
천용맛집,충주시,금제6길 2-1 (금릉동),8562490,천용정식
귀인식당,충주시,대가미12길 6 (교현동),8435353,생선구이조림
원뜰,제천시,금성면 국사봉로 26길 18,6486788,약채밥상
황금연못,제천시,내토로 281(천남동),6475686,돌솥곤드레밥
대보명가,제천시,용두대로 287,6433050,약초밥상
가람,제천시,수산면 월악로 2970,6512264,더덕뽕잎돌솥정식
산아래,제천시,봉양읍 앞산로 173,6463233,친환경우렁쌈밥
대추나무집,제천시,의병대로 12길 15,6450003,쇠고기로스정식
